Tasks Nq=Nc Boxes Until_saving_points Until_finding_min

2 2097152 4096 6.657514 383.393968

2 2097152 8192 5.406573 198.357410

2 2097152 16384 4.315643 106.226633

2 2097152 32768 3.690280 58.479597

2 4194304 4096 19.220237 1513.020743

2 4194304 8192 15.276313 776.679129

2 4194304 16384 11.762548 408.920548

2 4194304 32768 9.292095 217.608643

2 8388608 4096 56.423467 6012.107940

2 8388608 8192 43.919830 3074.946429

2 8388608 16384 33.852439 1591.333519

2 8388608 32768 25.414869 833.825496

2 16777216 4096 162.977837 19760.130819

2 16777216 8192 133.898631 10910.682592

2 16777216 16384 95.826657 6270.542465

2 16777216 32768 71.584808 3253.407744
